"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality" "colour"
"3" 7.8 0.76 0.04 2.3 0.092 15 54 0.997 3.26 0.65 9.8 5 "red"
"8" 7.3 0.65 0 1.2 0.065 15 21 0.9946 3.39 0.47 10 7 "red"
"10" 7.5 0.5 0.36 6.1 0.071 17 102 0.9978 3.35 0.8 10.5 5 "red"
"12" 7.5 0.5 0.36 6.1 0.071 17 102 0.9978 3.35 0.8 10.5 5 "red"
"17" 8.5 0.28 0.56 1.8 0.092 35 103 0.9969 3.3 0.75 10.5 7 "red"
"21" 8.9 0.22 0.48 1.8 0.077 29 60 0.9968 3.39 0.53 9.4 6 "red"
"24" 8.5 0.49 0.11 2.3 0.084 9 67 0.9968 3.17 0.53 9.4 5 "red"
"25" 6.9 0.4 0.14 2.4 0.085 21 40 0.9968 3.43 0.63 9.7 6 "red"
"27" 7.6 0.41 0.24 1.8 0.08 4 11 0.9962 3.28 0.59 9.5 5 "red"
"30" 7.8 0.645 0 2 0.082 8 16 0.9964 3.38 0.59 9.8 6 "red"
"38" 8.1 0.38 0.28 2.1 0.066 13 30 0.9968 3.23 0.73 9.7 7 "red"
"40" 7.3 0.45 0.36 5.9 0.074 12 87 0.9978 3.33 0.83 10.5 5 "red"
"45" 6.8 0.67 0.02 1.8 0.05 5 11 0.9962 3.48 0.52 9.5 5 "red"
"46" 4.6 0.52 0.15 2.1 0.054 8 65 0.9934 3.9 0.56 13.1 4 "red"
"48" 8.7 0.29 0.52 1.6 0.113 12 37 0.9969 3.25 0.58 9.5 5 "red"
"54" 8.6 0.38 0.36 3 0.081 30 119 0.997 3.2 0.56 9.4 5 "red"
"56" 7.7 0.62 0.04 3.8 0.084 25 45 0.9978 3.34 0.53 9.5 5 "red"
"58" 7.5 0.63 0.12 5.1 0.111 50 110 0.9983 3.26 0.77 9.4 5 "red"
"61" 8.8 0.4 0.4 2.2 0.079 19 52 0.998 3.44 0.64 9.2 5 "red"
"68" 6.6 0.705 0.07 1.6 0.076 6 15 0.9962 3.44 0.58 10.7 5 "red"
"74" 8.3 0.675 0.26 2.1 0.084 11 43 0.9976 3.31 0.53 9.2 4 "red"
